"TableName","InPutong","InSimu","分类"
"check_stkholdbalance","TRUE","TRUE","资产类"
"comm_bondpayment","TRUE","TRUE","参数类"
"comm_bookkeepingrule","TRUE","TRUE","参数类"
"comm_busidefine","TRUE","TRUE","参数类"
"comm_exchrate","TRUE","TRUE","参数类"
"comm_net_vote_bill_info","TRUE","TRUE","参数类"
"comm_stkprice","TRUE","TRUE","参数类"
"comm_stock","TRUE","TRUE","参数类"
"comm_udict_trans","TRUE","TRUE","参数类"
"fee_gx_cmscustmodel","TRUE","TRUE","参数类"
"fee_gx_cmscustservice","TRUE","FALSE","参数类"
"fee_gx_cmsfundinfo","TRUE","TRUE","参数类"
"fee_gx_cmsmodel","TRUE","TRUE","参数类"
"fee_gx_stk_cmsfeesub","TRUE","TRUE","参数类"
"fee_gx_stk_cmsmodel","TRUE","TRUE","参数类"
"fee_jzjy_bb_custcommission","TRUE","TRUE","参数类"
"fee_jzjy_commissionmodel","TRUE","TRUE","参数类"
"fee_jzjy_custcommission","TRUE","TRUE","参数类"
"fee_jzjy_logfrontfee","FALSE","TRUE","交易类"
"fee_jzjy_specialcommission","TRUE","TRUE","账户类"
"fee_jzjy_stktrd","TRUE","TRUE","参数类"
"fund_check","TRUE","FALSE","交易类"
"intf_gpzy_custctrl","TRUE","FALSE","账户类"
"intf_logassettran","TRUE","TRUE","交易类"
"intf_orderrec","TRUE","TRUE","交易类"
"intf_stkmatch","TRUE","TRUE","交易类"
"node_advancefundchange","TRUE","FALSE","资产类"
"node_bb_contract","TRUE","FALSE","资产类"
"node_bjhg_contract_all","TRUE","FALSE","资产类"
"node_cleardetail","TRUE","TRUE","交易类"
"node_cleardetailsub","TRUE","TRUE","交易类"
"node_cleardetailsub_orig","TRUE","TRUE","交易类"
"node_cust_curintrrate","TRUE","FALSE","账户类"
"node_debtdetail","TRUE","FALSE","交易类"
"node_djgs_zjkmdetail","TRUE","FALSE","交易类"
"node_djgs_zjkmdetail_sum","TRUE","FALSE","交易类"
"node_fund_cost_detail","TRUE","FALSE","交易类"
"node_fundacct","TRUE","TRUE","账户类"
"node_fundacct_bank","TRUE","FALSE","账户类"
"node_fundasset","TRUE","FALSE","账户类"
"node_fundbookkeeping","TRUE","TRUE","账户类"
"node_fundchange","TRUE","TRUE","交易类"
"node_fundotherasset","TRUE","FALSE","账户类"
"node_fundright","TRUE","FALSE","账户类"
"node_fundsettle_mid","TRUE","FALSE","交易类"
"node_fundunit","TRUE","FALSE","账户类"
"node_gpzy_custctrl","TRUE","FALSE","账户类"
"node_hgt_uncommitclear","TRUE","FALSE","交易类"
"node_ipoabort_returnintr","TRUE","FALSE","交易类"
"node_logasset","TRUE","TRUE","交易类"
"node_perioddetail","TRUE","TRUE","交易类"
"node_perioddetailsub","TRUE","FALSE","交易类"
"node_rptassetlogchecking","FALSE","TRUE","交易类"
"node_rptstkholdassetchecking","FALSE","TRUE","资产类"
"node_secuid","TRUE","TRUE","账户类"
"node_settdetail","TRUE","TRUE","交易类"
"node_settdetailsub","TRUE","TRUE","交易类"
"node_settgroup","TRUE","FALSE","账户类"
"node_settunit","TRUE","TRUE","账户类"
"node_sgmktquota_sh","TRUE","FALSE","资产类"
"node_sgmktquota_sz","TRUE","FALSE","资产类"
"node_share_latest_log","TRUE","FALSE","资产类"
"node_stkasset","TRUE","TRUE","资产类"
"node_stkasset_shxs","TRUE","TRUE","资产类"
"node_stkholdbookkeeping","TRUE","TRUE","资产类"
"node_stkholdchange","TRUE","TRUE","交易类"
"node_stkholdunit","TRUE","FALSE","账户类"
"node_sys_zjkmdetail","TRUE","TRUE","交易类"
"node_sys_zjkmdetail_sum","TRUE","FALSE","交易类"
"node_trade","TRUE","TRUE","交易类"
"node_trade_pledgeright","TRUE","FALSE","资产类"
"sh_gh","TRUE","TRUE","交易类"
"sh_gh00p","TRUE","TRUE","交易类"
"sh_jsmx","TRUE","TRUE","交易类"
"sh_zqbd","TRUE","TRUE","交易类"
"sh_zqjsxx","TRUE","TRUE","参数类"
"sh_zqy","TRUE","FALSE","资产类"
"sh_zqye","TRUE","TRUE","资产类"
"sz_dsfmx","TRUE","TRUE","交易类"
"sz_sjsdz","TRUE","TRUE","资产类"
"sz_sjsgb","TRUE","TRUE","参数类"
"sz_sjsks","TRUE","FALSE","资产类"
"sz_sjsmx1","TRUE","TRUE","交易类"
"sz_zsmxfk","TRUE","TRUE","交易类"
"szhk_sjsmx2","TRUE","FALSE","交易类"
"t_jxh_dzsj_ptdzd_child1","FALSE","TRUE","交易类"
"t_jxh_dzsj_ptdzd_child2","FALSE","TRUE","资产类"
"t_jxh_dzsj_ptdzd_dbf_ccdz","FALSE","TRUE","资产类"
"t_jxh_dzsj_ptdzd_dbf_jydz","FALSE","TRUE","交易类"
"t_jxh_dzsj_ptdzd_execl_ccdz","FALSE","TRUE","资产类"
"t_jxh_dzsj_ptdzd_execl_jydz","FALSE","TRUE","交易类"
"t_jxh_dzsj_ptdzd_txt_ccdz","FALSE","TRUE","资产类"
"t_jxh_dzsj_ptdzd_txt_jydz","FALSE","TRUE","交易类"
